Nozzle, Nozzle type (SUPER_SHORT|BLOCKED|OFFSET|INSTALLED|COVERED), Orifice diameter
A231, INSTALLED, 1000
A232, INSTALLED, 1000
A233, INSTALLED, 1000
A234, INSTALLED, 1000
A235, INSTALLED, 1000
A236, INSTALLED, 1000
A237, INSTALLED, 1000
A238, INSTALLED, 1000
A239, SUPER_SHORT, 1000
A240, OFFSET, 1000
A241, INSTALLED, 1000
A242, INSTALLED, 1000
A243, INSTALLED, 1000
A244, INSTALLED, 1000
A245, COVERED, 1000
A246, INSTALLED, 1000
A247, INSTALLED, 1000
A248, INSTALLED, 1000
A249, INSTALLED, 1000
A250, INSTALLED, 1000
A251, INSTALLED, 1000
A252, INSTALLED, 1000
A253, INSTALLED, 1000
A254, OFFSET, 1000
A255, INSTALLED, 1000
A256, INSTALLED, 1000
A257, OFFSET, 1000
A258, COVERED, 1000
A259, COVERED, 1000
A260, OFFSET, 1000
A261, OFFSET, 1000
A262, INSTALLED, 1000
A263, INSTALLED, 1000
A264, INSTALLED, 1000
A265, INSTALLED, 1000
A266, INSTALLED, 1000
A267, INSTALLED, 1000
A268, OFFSET, 1000
A269, INSTALLED, 1000
A270, INSTALLED, 1000
A271, INSTALLED, 1000
A272, INSTALLED, 1000
A273, COVERED, 1000
A274, OFFSET, 1000
A275, OFFSET, 1000
B1, INSTALLED, 500
B2, INSTALLED, 500
B3, INSTALLED, 500
B4, INSTALLED, 500
B5, COVERED, 1000
B6, INSTALLED, 500
B7, OFFSET, 1000
B8, INSTALLED, 1000
B9, INSTALLED, 1000
B10, INSTALLED, 1000
B11, OFFSET, 1000
B12, INSTALLED, 1000
B13, OFFSET, 1000
B14, INSTALLED, 1000
B15, INSTALLED, 1000
B16, INSTALLED, 1000
B17, COVERED, 1000
B18, INSTALLED, 1000
B19, INSTALLED, 1000
B20, OFFSET, 1000
B21, INSTALLED, 500
B22, INSTALLED, 1000
B23, SUPER_SHORT, 1000
B24, INSTALLED, 500
B25, INSTALLED, 1000
B26, INSTALLED, 1000
B27, INSTALLED, 1000
B28, INSTALLED, 1000
B29, COVERED, 1000
B30, INSTALLED, 1000
B31, INSTALLED, 1000
B32, INSTALLED, 1000
B33, INSTALLED, 1000
B34, INSTALLED, 1000
B35, COVERED, 1000
B36, INSTALLED, 1000
B37, INSTALLED, 1000
B38, INSTALLED, 1000
B39, INSTALLED, 500
B40, OFFSET, 1000
B41, INSTALLED, 500
B42, OFFSET, 1000
B43, INSTALLED, 500
B44, INSTALLED, 1000
B45, INSTALLED, 1000
B46, OFFSET, 1000
B47, INSTALLED, 1000
B48, OFFSET, 1000
B49, INSTALLED, 1000
B50, INSTALLED, 1000
B51, INSTALLED, 1000
B52, COVERED, 1000
B53, INSTALLED, 1000
B54, OFFSET, 1000
B55, INSTALLED, 1000
B56, INSTALLED, 1000
B57, OFFSET, 1000
B58, INSTALLED, 500
B59, OFFSET, 500
B60, INSTALLED, 500
B61, INSTALLED, 500
B62, INSTALLED, 500
B63, INSTALLED, 1000
B64, INSTALLED, 1000
B65, COVERED, 1000
B66, INSTALLED, 1000
B67, INSTALLED, 1000
B68, INSTALLED, 1000
B69, INSTALLED, 1000
B70, INSTALLED, 1000
B71, COVERED, 1000
B72, INSTALLED, 1000
B73, INSTALLED, 1000
B74, INSTALLED, 1000
B75, INSTALLED, 1000
B76, COVERED, 1000
B77, OFFSET, 1000
B78, INSTALLED, 500
B79, INSTALLED, 500
B80, INSTALLED, 500
B81, INSTALLED, 1000
B82, OFFSET, 1000
B83, INSTALLED, 1000
B84, OFFSET, 1000
B85, INSTALLED, 1000
B86, INSTALLED, 1000
B87, INSTALLED, 1000
B88, COVERED, 1000
B89, INSTALLED, 1000
B90, OFFSET, 1000
B91, INSTALLED, 1000
B92, INSTALLED, 1000
B93, INSTALLED, 1000
B94, OFFSET, 1000
B95, INSTALLED, 1000
B96, INSTALLED, 1000
B97, INSTALLED, 500
B98, INSTALLED, 500
B99, INSTALLED, 1000
B100, COVERED, 1000
B101, INSTALLED, 1000
B102, INSTALLED, 1000
B103, INSTALLED, 1000
B104, INSTALLED, 1000
B105, INSTALLED, 1000
B106, SUPER_SHORT, 1000
B107, INSTALLED, 1000
B108, INSTALLED, 1000
B109, INSTALLED, 1000
B110, OFFSET, 1000
B111, INSTALLED, 1000
B112, COVERED, 1000
B113, INSTALLED, 1000
B114, COVERED, 1000
B115, INSTALLED, 500
B116, OFFSET, 1000
B117, INSTALLED, 1000
B118, INSTALLED, 1000
B119, INSTALLED, 1000
B120, OFFSET, 1000
B121, INSTALLED, 1000
B122, OFFSET, 1000
B123, INSTALLED, 1000
B124, INSTALLED, 1000
B125, INSTALLED, 1000
B126, COVERED, 1000
B127, INSTALLED, 1000
B128, OFFSET, 1000
B129, INSTALLED, 1000
B130, OFFSET, 1000
B131, INSTALLED, 500
B132, INSTALLED, 1000
B133, INSTALLED, 1000
B134, INSTALLED, 1000
B135, INSTALLED, 1000
B136, COVERED, 1000
B137, INSTALLED, 1000
B138, INSTALLED, 1000
B139, INSTALLED, 1000
B140, INSTALLED, 1000
B141, INSTALLED, 1000
B142, OFFSET, 1000
B143, INSTALLED, 1000
B144, INSTALLED, 1000
B145, INSTALLED, 1000
B146, INSTALLED, 1000
B147, OFFSET, 1000
B148, INSTALLED, 1000
B149, INSTALLED, 1000
B150, OFFSET, 1000
B151, INSTALLED, 1000
B152, OFFSET, 1000
B153, INSTALLED, 1000
B154, INSTALLED, 1000
B155, INSTALLED, 1000
B156, OFFSET, 1000
B157, INSTALLED, 1000
B158, INSTALLED, 1000
B159, INSTALLED, 1000
B160, INSTALLED, 1000
B161, INSTALLED, 1000
B162, COVERED, 1000
B163, INSTALLED, 1000
B164, INSTALLED, 1000
B165, COVERED, 1000
B166, INSTALLED, 1000
B167, INSTALLED, 1000
B168, INSTALLED, 1000
B169, INSTALLED, 1000
B170, INSTALLED, 1000
B171, COVERED, 1000
B172, INSTALLED, 1000
B173, INSTALLED, 1000
B174, INSTALLED, 1000
B175, INSTALLED, 1000
B176, INSTALLED, 1000
B177, INSTALLED, 1000
B178, INSTALLED, 1000
B179, OFFSET, 1000
B180, INSTALLED, 1000
B181, INSTALLED, 1000
B182, INSTALLED, 1000
B183, OFFSET, 1000
B184, INSTALLED, 1000
B185, OFFSET, 1000
B186, OFFSET, 1000
B187, OFFSET, 1000
B188, INSTALLED, 1000
B189, COVERED, 1000
B190, INSTALLED, 1000
B191, INSTALLED, 1000
B192, INSTALLED, 1000
B193, INSTALLED, 1000
B194, INSTALLED, 1000
B195, INSTALLED, 1000
B196, COVERED, 1000
B197, INSTALLED, 1000
B198, INSTALLED, 1000
B199, INSTALLED, 1000
B200, INSTALLED, 1000
B201, INSTALLED, 1000
B202, COVERED, 1000
B203, INSTALLED, 1000
B204, OFFSET, 1000
B205, INSTALLED, 1000
B206, COVERED, 1000
B207, INSTALLED, 1000
B208, OFFSET, 1000
B209, INSTALLED, 1000
B210, INSTALLED, 1000
B211, INSTALLED, 1000
B212, OFFSET, 1000
B213, INSTALLED, 1000
B214, OFFSET, 1000
B215, INSTALLED, 1000
B216, OFFSET, 1000
B217, OFFSET, 1000
B218, INSTALLED, 1000
B219, INSTALLED, 1000
B220, INSTALLED, 1000
B221, INSTALLED, 1000
B222, INSTALLED, 1000
B223, COVERED, 1000
B224, INSTALLED, 1000
B225, INSTALLED, 1000
B226, INSTALLED, 1000
B227, INSTALLED, 1000
B228, INSTALLED, 1000
B229, INSTALLED, 1000
B230, INSTALLED, 1000
B231, COVERED, 1000
B232, INSTALLED, 1000
B233, OFFSET, 1000
B234, INSTALLED, 1000
B235, INSTALLED, 1000
B236, INSTALLED, 1000
B237, INSTALLED, 1000
B238, INSTALLED, 1000
B239, INSTALLED, 1000
B240, COVERED, 1000
B241, INSTALLED, 1000
B242, INSTALLED, 1000
B243, INSTALLED, 1000
B244, INSTALLED, 1000
B245, INSTALLED, 1000
B246, COVERED, 1000
B247, INSTALLED, 1000
B248, OFFSET, 1000
B249, INSTALLED, 1000
B250, INSTALLED, 1000
B251, INSTALLED, 1000
B252, COVERED, 1000
B253, INSTALLED, 1000
B254, INSTALLED, 1000
B255, INSTALLED, 1000
B256, INSTALLED, 1000
B257, INSTALLED, 1000
B258, INSTALLED, 1000
B259, COVERED, 1000
B260, INSTALLED, 1000
B261, OFFSET, 1000
B262, OFFSET, 1000
B263, COVERED, 1000
B264, INSTALLED, 1000
B265, OFFSET, 1000
B266, OFFSET, 1000
B267, INSTALLED, 1000
B268, INSTALLED, 1000
B269, INSTALLED, 1000
B270, INSTALLED, 1000
B271, OFFSET, 1000
B272, OFFSET, 1000
B273, INSTALLED, 1000
B274, INSTALLED, 1000
B275, INSTALLED, 1000
C1, INSTALLED, 500
C2, INSTALLED, 500
C3, INSTALLED, 500
C4, INSTALLED, 500
C5, SUPER_SHORT, 1000
C6, INSTALLED, 1000
C7, INSTALLED, 1000
C8, INSTALLED, 1000
C9, INSTALLED, 1000
C10, INSTALLED, 1000
C11, SUPER_SHORT, 1000
C12, INSTALLED, 1000
C13, INSTALLED, 1000
C14, INSTALLED, 1000
C15, INSTALLED, 1000
C16, INSTALLED, 1000
C17, SUPER_SHORT, 1000
C18, INSTALLED, 1000
C19, OFFSET, 1000
C20, OFFSET, 1000
C21, INSTALLED, 500
C22, INSTALLED, 500
C23, INSTALLED, 500
C24, OFFSET, 1000
C25, INSTALLED, 1000
C26, OFFSET, 1000
C27, INSTALLED, 1000
C28, INSTALLED, 1000
C29, INSTALLED, 1000
C30, OFFSET, 1000
C31, INSTALLED, 1000
C32, SUPER_SHORT, 1000
C33, INSTALLED, 1000
C34, INSTALLED, 1000
C35, INSTALLED, 1000
C36, OFFSET, 1000
C37, OFFSET, 1000
C38, OFFSET, 1000
C39, INSTALLED, 500
C40, OFFSET, 1000
C41, INSTALLED, 500
C42, INSTALLED, 500
C43, INSTALLED, 500
C44, INSTALLED, 1000
C45, INSTALLED, 1000
C46, SUPER_SHORT, 1000
C47, INSTALLED, 1000
C48, INSTALLED, 1000
C49, INSTALLED, 1000
C50, INSTALLED, 1000
C51, INSTALLED, 1000
C52, SUPER_SHORT, 1000
C53, INSTALLED, 1000
C54, INSTALLED, 1000
C55, INSTALLED, 1000
C56, INSTALLED, 1000
C57, INSTALLED, 1000
C58, INSTALLED, 500
C59, INSTALLED, 500
C60, INSTALLED, 500
C61, INSTALLED, 500
C62, OFFSET, 1000
C63, INSTALLED, 1000
C64, INSTALLED, 1000
C65, INSTALLED, 1000
C66, OFFSET, 1000
C67, INSTALLED, 1000
C68, SUPER_SHORT, 1000
C69, INSTALLED, 1000
C70, INSTALLED, 1000
C71, INSTALLED, 1000
C72, OFFSET, 1000
C73, INSTALLED, 1000
C74, SUPER_SHORT, 1000
C75, INSTALLED, 1000
C76, INSTALLED, 1000
C77, INSTALLED, 1000
C78, INSTALLED, 500
C79, INSTALLED, 1000
C80, INSTALLED, 500
C81, INSTALLED, 500
C82, SUPER_SHORT, 1000
C83, INSTALLED, 1000
C84, INSTALLED, 1000
C85, INSTALLED, 1000
C86, INSTALLED, 1000
C87, INSTALLED, 1000
C88, SUPER_SHORT, 1000
C89, INSTALLED, 1000
C90, INSTALLED, 1000
C91, INSTALLED, 1000
C92, INSTALLED, 1000
C93, INSTALLED, 1000
C94, SUPER_SHORT, 1000
C95, INSTALLED, 1000
C96, OFFSET, 1000
C97, INSTALLED, 500
C98, INSTALLED, 500
C99, INSTALLED, 500
C100, INSTALLED, 1000
C101, OFFSET, 1000
C102, INSTALLED, 1000
C103, SUPER_SHORT, 1000
C104, INSTALLED, 1000
C105, INSTALLED, 1000
C106, INSTALLED, 1000
C107, OFFSET, 1000
C108, INSTALLED, 1000
C109, SUPER_SHORT, 1000
C110, INSTALLED, 1000
C111, INSTALLED, 1000
C112, INSTALLED, 1000
C113, OFFSET, 1000
C114, INSTALLED, 500
C115, INSTALLED, 500
C116, INSTALLED, 1000
C117, INSTALLED, 1000
C118, INSTALLED, 1000
C119, INSTALLED, 1000
C120, SUPER_SHORT, 1000
C121, INSTALLED, 1000
C122, INSTALLED, 1000
C123, INSTALLED, 1000
C124, INSTALLED, 1000
C125, INSTALLED, 1000
C126, SUPER_SHORT, 1000
C127, INSTALLED, 1000
C128, INSTALLED, 1000
C129, INSTALLED, 1000
C130, OFFSET, 1000
C131, INSTALLED, 500
C132, INSTALLED, 1000
C133, SUPER_SHORT, 1000
C134, INSTALLED, 1000
C135, INSTALLED, 1000
C136, INSTALLED, 1000
C137, OFFSET, 1000
C138, INSTALLED, 1000
C139, OFFSET, 1000
C140, OFFSET, 1000
C141, INSTALLED, 1000
C142, INSTALLED, 1000
C143, OFFSET, 1000
C144, INSTALLED, 1000
C145, SUPER_SHORT, 1000
C146, OFFSET, 1000
C147, INSTALLED, 1000
C148, INSTALLED, 1000
C149, INSTALLED, 1000
C150, SUPER_SHORT, 1000
C151, INSTALLED, 1000
C152, INSTALLED, 1000
C153, INSTALLED, 1000
C154, INSTALLED, 1000
C155, INSTALLED, 1000
C156, SUPER_SHORT, 1000
C157, OFFSET, 1000
C158, INSTALLED, 1000
C159, INSTALLED, 1000
C160, INSTALLED, 1000
C161, INSTALLED, 1000
C162, INSTALLED, 1000
C163, INSTALLED, 1000
C164, INSTALLED, 1000
C165, INSTALLED, 1000
C166, OFFSET, 1000
C167, INSTALLED, 1000
C168, SUPER_SHORT, 1000
C169, INSTALLED, 1000
C170, INSTALLED, 1000
C171, INSTALLED, 1000
C172, INSTALLED, 1000
C173, OFFSET, 1000
C174, SUPER_SHORT, 1000
C175, INSTALLED, 1000
C176, INSTALLED, 1000
C177, INSTALLED, 1000
C178, INSTALLED, 1000
C179, INSTALLED, 1000
C180, INSTALLED, 1000
C181, INSTALLED, 1000
C182, INSTALLED, 1000
C183, SUPER_SHORT, 1000
C184, INSTALLED, 1000
C185, INSTALLED, 1000
C186, INSTALLED, 1000
C187, INSTALLED, 1000
C188, INSTALLED, 1000
C189, SUPER_SHORT, 1000
C190, INSTALLED, 1000
C191, INSTALLED, 1000
C192, INSTALLED, 1000
C193, INSTALLED, 1000
C194, INSTALLED, 1000
C195, INSTALLED, 1000
C196, INSTALLED, 1000
